State,p_county,ylat,xlong,p_year,p_cap_ac,p_cap_dc,Average GDP from 2010 to 2020(unit 1 million dollar),% Sun,Total Hours,Clear Days,Population,Empolyment Number,consumption (MWh),expenditures ('000 $),house_price
AL,Lauderdale,34.833813,-87.838258,2016,75,100.2,168185.1458,58,2641,99,92641,51119,606098,60829,"258,470"
AL,Dale,31.332202,-85.730144,2017,10.6,12.7,168185.1458,58,2641,99,49607,18785,284461,35766,"154,330"
AL,Calhoun,33.626383,-85.939984,2017,7.4,9.7,168185.1458,58,2641,99,115883,71664,648757,82123,"184,640"
AL,Madison,34.611222,-86.624293,2017,10,12.5,168185.1458,58,2641,99,349973,317160,2189561,211792,"365,380"
AL,Chambers,32.871904,-85.39706,2017,79.2,116.9,168185.1458,58,2641,99,34018,12279,207888,26283,"146,270"
AL,Limestone,34.951948,-86.866187,2018,15.9,20,168185.1458,58,2641,99,90257,33875,532880,51872,"320,750"
AL,Colbert,34.766082,-87.9202,2021,227,294,168185.1458,58,2641,99,54377,44941,344526,35739,"191,230"
AL,Russell,32.30477,-84.991003,2015,30,41.5,168185.1458,58,2641,99,58636,22283,326048,41221,"181,230"
AL,Montgomery,32.202311,-86.325071,2020,100,130,168185.1458,58,2641,99,227392,207764,1251966,158323,"186,970"
AL,Covington,31.007337,-86.593864,2020,80,80,168185.1458,58,2641,99,37729,19928,209762,29372,"152,960"
AZ,Maricopa,33.355906,-112.915082,2022,60,60,248137.0958,85,3806,193,4088549,3246598,20615633,2525122,"549,130"
AZ,Maricopa,33.340897,-112.950747,2016,154,210,248137.0958,85,3806,193,4088549,3246598,20615633,2525122,"549,130"
AZ,Pinal,33.158993,-111.481623,2011,20,23.7,248137.0958,85,3806,193,397604,97718,1735643,215806,"436,300"
AZ,Yavapai,34.724115,-112.432264,2012,19,21,248137.0958,85,3806,193,218586,120306,862187,112587,"512,040"
AZ,Yavapai,34.689322,-112.402614,2011,10.4,11.7,248137.0958,85,3806,193,218586,120306,862187,112587,"512,040"
AZ,Mohave,35.022825,-114.162449,2012,9,10,248137.0958,85,3806,193,203629,83908,883197,96124,"332,190"
AZ,Maricopa,33.49817,-112.813276,2013,14.8,19.3,248137.0958,85,3806,193,4088549,3246598,20615633,2525122,"549,130"
AZ,Pima,32.145812,-110.87957,2013,9,12.7,248137.0958,85,3806,193,1003338,633322,4039681,455043,"374,640"
AZ,Yuma,32.981357,-113.498003,2014,290,398.6,248137.0958,85,3806,193,203292,85072,844392,110150,"245,050"
AZ,Santa Cruz,31.494163,-111.006063,2014,6,7.2,248137.0958,85,3806,193,46547,22830,147056,16046,"243,260"
AZ,Pima,32.042663,-110.959069,2016,16,21.5,248137.0958,85,3806,193,1003338,633322,4039681,455043,"374,640"
AZ,Pima,32.03087,-110.958585,2014,29,35,248137.0958,85,3806,193,1003338,633322,4039681,455043,"374,640"
AZ,Maricopa,32.948588,-112.769774,2014,37.12,51,248137.0958,85,3806,193,4088549,3246598,20615633,2525122,"549,130"
AZ,Maricopa,33.144218,-112.661591,2015,11.2,15.6,248137.0958,85,3806,193,4088549,3246598,20615633,2525122,"549,130"
AZ,Maricopa,33.52506,-112.382458,2015,11.2,15.6,248137.0958,85,3806,193,4088549,3246598,20615633,2525122,"549,130"
AZ,Maricopa,33.020959,-112.661797,2011,17.6,22.5,248137.0958,85,3806,193,4088549,3246598,20615633,2525122,"549,130"
AZ,Yavapai,34.587837,-113.175721,2011,15,16.6,248137.0958,85,3806,193,218586,120306,862187,112587,"512,040"
AZ,Maricopa,33.381248,-113.18452,2012,15,16.9,248137.0958,85,3806,193,4088549,3246598,20615633,2525122,"549,130"
AZ,Pima,32.370827,-111.238244,2012,20,25.3,248137.0958,85,3806,193,1003338,633322,4039681,455043,"374,640"
AZ,Pima,32.371832,-111.283242,2013,26.46,26.5,248137.0958,85,3806,193,1003338,633322,4039681,455043,"374,640"
AZ,Pima,32.099647,-110.81571,2012,5.1,6.6,248137.0958,85,3806,193,1003338,633322,4039681,455043,"374,640"
AZ,Maricopa,33.345446,-112.923848,2012,170,235.1,248137.0958,85,3806,193,4088549,3246598,20615633,2525122,"549,130"
AZ,Yuma,32.6395,-114.431353,2013,37.44,52,248137.0958,85,3806,193,203292,85072,844392,110150,"245,050"
AZ,Maricopa,33.298671,-112.827225,2013,129,174.9,248137.0958,85,3806,193,4088549,3246598,20615633,2525122,"549,130"
AZ,Apache,34.294474,-109.27154,2014,13.62,16.4,248137.0958,85,3806,193,72346,12946,122976,14360,"100,100"
AZ,Pinal,33.041452,-111.451962,2015,45,57.5,248137.0958,85,3806,193,397604,97718,1735643,215806,"436,300"
AZ,Mohave,34.983955,-114.55634,2015,4.4,5.3,248137.0958,85,3806,193,203629,83908,883197,96124,"332,190"
AZ,Pinal,33.051117,-111.340769,2016,50,62.6,248137.0958,85,3806,193,397604,97718,1735643,215806,"436,300"
AZ,Pinal,32.554828,-111.280849,2017,40,57.7,248137.0958,85,3806,193,397604,97718,1735643,215806,"436,300"
AZ,Mohave,35.349159,-113.914259,2018,46,64.5,248137.0958,85,3806,193,203629,83908,883197,96124,"332,190"
AZ,Pima,32.170516,-110.897011,2014,12.6,16.4,248137.0958,85,3806,193,1003338,633322,4039681,455043,"374,640"
AZ,Cochise,32.257451,-110.156832,2015,55,75.9,248137.0958,85,3806,193,128177,51590,429159,57222,"257,230"
AZ,Cochise,32.066676,-109.921281,2016,20.5,23,248137.0958,85,3806,193,128177,51590,429159,57222,"257,230"
AZ,Cochise,32.068285,-109.888694,2017,20,24.7,248137.0958,85,3806,193,128177,51590,429159,57222,"257,230"
AZ,Pinal,32.875696,-111.546455,2018,20,30.9,248137.0958,85,3806,193,397604,97718,1735643,215806,"436,300"
AZ,Pima,32.365016,-112.831304,2011,4.5,5,248137.0958,85,3806,193,1003338,633322,4039681,455043,"374,640"
AZ,Mohave,35.241588,-114.004585,2011,1,1.2,248137.0958,85,3806,193,203629,83908,883197,96124,"332,190"
AZ,Pima,32.099521,-110.811275,2010,1.2,1.6,248137.0958,85,3806,193,1003338,633322,4039681,455043,"374,640"
AZ,Cochise,32.268153,-110.151375,2016,30,37.7,248137.0958,85,3806,193,128177,51590,429159,57222,"257,230"
AZ,Maricopa,33.268352,-111.613368,2012,19,25.2,248137.0958,85,3806,193,4088549,3246598,20615633,2525122,"549,130"
AZ,Yuma,33.026566,-113.356482,2013,14,21,248137.0958,85,3806,193,203292,85072,844392,110150,"245,050"
AZ,Maricopa,33.82314,-112.24089,2012,6,7.6,248137.0958,85,3806,193,4088549,3246598,20615633,2525122,"549,130"
AZ,Pima,32.101847,-110.813116,2014,1,1,248137.0958,85,3806,193,1003338,633322,4039681,455043,"374,640"
AZ,Pima,32.107057,-110.824225,2011,1.9,2,248137.0958,85,3806,193,1003338,633322,4039681,455043,"374,640"
