case_id_1,case_id_2,distance_km,weight
402005,403610,6.7,0.148
402005,401037,6.2,0.158
402005,400111,17.0,0.059
402005,400344,13.2,0.075
402005,400609,9.8,0.101
402005,402436,19.6,0.051
402005,401385,7.5,0.132
402005,404292,13.9,0.071
402102,402103,0.3,2.398
402102,402260,15.9,0.063
402102,402885,19.4,0.051
402102,403719,12.5,0.079
402102,403720,1.9,0.502
402102,403723,1.5,0.615
402102,403725,18.0,0.055
402102,403726,18.9,0.053
402102,403732,19.1,0.052
402102,400662,15.8,0.063
402102,400409,9.5,0.104
402102,401297,15.0,0.066
402102,400345,15.2,0.065
402102,401603,19.1,0.052
402102,401831,6.9,0.143
402102,400446,9.5,0.105
402102,401039,17.2,0.058
402102,401448,9.6,0.103
402102,401827,16.5,0.06
402102,401994,11.0,0.09
402102,401995,12.5,0.079
402102,402333,14.2,0.07
402102,402504,15.5,0.064
402102,402506,16.7,0.06
402102,401279,17.0,0.058
402102,402257,15.3,0.065
402102,401669,13.3,0.075
402102,402288,7.5,0.132
402102,403721,9.0,0.11
402102,402217,13.6,0.073
402102,402219,13.1,0.076
402102,403871,13.0,0.076
402102,402287,17.3,0.057
402102,402416,6.9,0.144
402102,402882,14.1,0.07
402102,403727,8.9,0.111
402102,403301,3.2,0.301
402102,403354,16.9,0.059
402102,403357,16.3,0.061
402102,403508,13.0,0.076
402102,403670,8.1,0.122
402102,403983,15.9,0.063
402102,404029,13.0,0.076
402102,404049,14.7,0.068
402102,404050,12.4,0.08
402102,404263,14.6,0.068
402102,400448,0.5,1.714
402102,402101,0.3,2.693
402102,403672,19.7,0.05
402102,403671,19.8,0.05
402102,403669,12.7,0.078
402102,404193,19.8,0.05
402102,402267,16.4,0.06
402102,401215,13.7,0.073
402102,404964,11.5,0.086
402102,400443,1.2,0.779
402102,400445,1.1,0.819
402102,404592,8.7,0.113
402103,402260,16.1,0.062
402103,402885,19.4,0.051
402103,403719,12.6,0.078
402103,403720,2.1,0.458
402103,403723,1.8,0.515
402103,403725,18.2,0.055
402103,403726,19.2,0.052
402103,403732,19.5,0.051
402103,400662,16.1,0.062
402103,400508,19.8,0.05
402103,400409,9.8,0.101
402103,401297,15.3,0.065
402103,400345,15.0,0.066
402103,401603,19.2,0.052
402103,401831,6.6,0.149
402103,400446,9.2,0.108
402103,401039,16.9,0.059
402103,401448,9.5,0.104
402103,401827,16.8,0.059
402103,401994,11.3,0.088
402103,401995,12.7,0.078
402103,402333,14.1,0.07
402103,402504,15.2,0.065
402103,402506,16.4,0.061
402103,401279,16.7,0.059
402103,402257,15.5,0.064
402103,401669,13.6,0.073
402103,402288,7.4,0.133
402103,403721,9.3,0.107
402103,402217,13.9,0.071
402103,402219,13.4,0.074
402103,403871,13.3,0.075
402103,402287,17.0,0.058
402103,402416,7.2,0.137
402103,402882,14.3,0.07
402103,403727,9.2,0.107
402103,404539,19.8,0.05
402103,403301,3.4,0.284
402103,403354,17.3,0.058
402103,403357,16.6,0.06
402103,403508,13.1,0.076
402103,403562,19.7,0.05
402103,403670,8.4,0.117
402103,403983,15.6,0.064
402103,404029,13.3,0.075
402103,404049,15.0,0.066
402103,404050,12.7,0.078
402103,404263,14.5,0.069
402103,400448,0.5,1.543
402103,402101,0.4,1.932
402103,403672,19.8,0.05
402103,403671,19.9,0.05
402103,403669,12.9,0.077
402103,404193,19.9,0.05
402103,402267,16.6,0.06
402103,401215,13.9,0.072
402103,404964,11.2,0.089
402103,400443,1.4,0.673
402103,400445,1.3,0.714
402103,404592,8.4,0.117
402103,402012,19.8,0.05
401488,402013,19.7,0.05
401488,402799,13.8,0.072
402126,403064,6.9,0.144
402126,403180,13.0,0.076
402126,403667,9.3,0.107
402126,403741,9.4,0.105
402126,403742,9.2,0.107
402126,400333,17.9,0.055
402126,400508,13.6,0.073
402126,401277,10.9,0.091
402126,400949,11.2,0.088
402126,402307,19.8,0.05
402126,400335,9.5,0.104
402126,400336,15.6,0.064
402126,400950,10.7,0.092
402126,401039,17.5,0.057
402126,402308,5.1,0.192
402126,402428,19.3,0.052
402126,402570,19.3,0.051
402126,401521,9.9,0.1
402126,401279,19.5,0.051
402126,400517,15.3,0.065
402126,401901,10.3,0.096
402126,402287,19.5,0.051
402126,404539,14.9,0.066
402126,403562,15.1,0.066
402126,404042,1.4,0.664
402126,403300,10.6,0.094
402126,404192,14.9,0.067
402126,404291,2.2,0.432
402126,403299,11.2,0.089
402126,403305,11.1,0.089
402126,403306,10.9,0.091
402126,404265,2.1,0.452
402126,404824,8.8,0.113
402126,404707,11.4,0.087
402126,402012,14.9,0.067
402260,402885,11.8,0.084
402260,403719,4.1,0.238
402260,403720,14.0,0.071
402260,403723,14.9,0.067
402260,403725,3.3,0.296
402260,403726,13.6,0.073
402260,403729,7.4,0.133
402260,403730,7.3,0.134
402260,403731,7.4,0.134
402260,403732,13.6,0.073
402260,403733,9.1,0.109
402260,402253,13.4,0.074
402260,400662,16.0,0.062
402260,400409,14.6,0.068
402260,401603,5.2,0.189
402260,400446,18.8,0.053
402260,401313,12.3,0.081
402260,401314,12.6,0.079
402260,401448,14.0,0.071
402260,401826,14.5,0.068
402260,400444,15.4,0.065
402260,401827,14.1,0.071
402260,401847,13.1,0.076
402260,401994,5.2,0.189
402260,401995,3.4,0.287
402260,401669,17.0,0.058
402260,402288,12.5,0.08
402260,403721,14.0,0.071
402260,400526,10.5,0.094
402260,402217,11.7,0.085
402260,402219,11.9,0.084
402260,403871,10.8,0.092
402260,402416,13.9,0.071
402260,402882,1.8,0.525
402260,403727,13.9,0.072
402260,402507,18.3,0.054
402260,403301,17.1,0.058
402260,403334,11.9,0.083
402260,403354,14.9,0.067
402260,403357,14.8,0.067
402260,403487,12.2,0.081
402260,403508,7.4,0.134
402260,403668,7.7,0.129
402260,403670,10.2,0.097
402260,404029,6.7,0.146
402260,404049,12.6,0.079
402260,404050,15.8,0.063
402260,404164,18.4,0.054
402260,404262,10.0,0.099
402260,404263,17.4,0.057
402260,400448,15.5,0.064
402260,402101,15.7,0.063
402260,403672,6.5,0.151
402260,403671,7.0,0.141
402260,403669,3.6,0.274
402260,404051,6.8,0.144
402260,404193,6.3,0.156
402260,401215,2.6,0.371
402260,400443,14.7,0.068
402260,400445,14.8,0.067
402260,404592,19.1,0.052
402440,403114,16.2,0.061
402440,400498,14.1,0.071
402440,401081,10.5,0.094
402440,400174,12.9,0.077
402440,400449,16.9,0.059
402440,400306,16.8,0.059
402440,400438,16.1,0.062
402440,400912,17.5,0.057
402440,400681,14.4,0.069
402440,400439,17.5,0.057
402440,400712,16.3,0.061
402440,400902,14.3,0.069
402440,400680,14.1,0.07
402440,400909,13.7,0.072
402440,401482,17.7,0.056
402440,401489,17.8,0.056
402440,401693,2.6,0.376
402440,401708,18.0,0.055
402440,402097,14.6,0.068
402440,402143,10.7,0.092
402440,402175,18.9,0.053
402440,402176,18.7,0.053
402440,402789,13.5,0.074
402440,402967,16.2,0.061
402440,402968,17.0,0.058
402440,402969,17.1,0.058
402440,402970,17.2,0.058
402440,401732,18.6,0.053
402440,401729,18.8,0.053
402440,402966,1.0,0.917
402440,404190,7.5,0.132
402440,404323,3.9,0.252
402440,404395,19.6,0.051
402440,404411,17.9,0.056
402440,404429,14.9,0.067
402440,404410,16.1,0.062
402440,404382,17.4,0.057
402440,404412,16.8,0.059
402440,404383,17.2,0.058
402440,404879,13.3,0.075
402440,404736,14.0,0.071
402466,400915,13.1,0.076
402466,400949,13.0,0.076
402466,400809,7.0,0.14
402466,400848,17.3,0.058
402466,401882,12.4,0.08
402466,400336,11.4,0.087
402466,400950,13.4,0.074
402466,401694,16.1,0.062
402466,401997,6.3,0.155
402466,402308,18.5,0.054
402466,402570,4.7,0.207
402466,402571,18.9,0.053
402466,402937,8.8,0.113
402466,402472,13.1,0.076
402466,402467,1.0,0.871
402466,404008,13.2,0.075
402466,404030,5.2,0.188
402466,404192,10.5,0.094
402466,404275,18.9,0.053
402466,404699,11.3,0.088
402466,404707,12.6,0.079
402800,402801,14.7,0.067
402800,403150,13.0,0.076
402800,400847,14.5,0.068
402800,400331,2.6,0.377
402800,400237,18.3,0.054
402800,400849,11.0,0.09
402800,400850,15.0,0.066
402800,400440,10.9,0.091
402800,401206,14.1,0.07
402800,401207,10.5,0.095
402800,401205,5.4,0.183
402800,401600,3.7,0.266
402800,402029,12.8,0.078
402800,402471,14.5,0.069
402800,402477,13.5,0.073
402800,402006,20.0,0.05
402800,400611,15.6,0.064
402800,400916,16.9,0.059
402800,404021,16.5,0.06
402800,403220,1.8,0.54
402800,403303,18.5,0.054
402800,404430,17.5,0.057
402800,402614,17.4,0.057
402800,403304,11.2,0.088
402800,403782,18.5,0.054
402800,403908,7.5,0.132
402800,402030,11.6,0.085
402800,403564,15.4,0.065
402801,402802,12.6,0.079
402801,402820,9.6,0.103
402801,403765,18.0,0.055
402801,401080,18.4,0.054
402801,400847,7.4,0.133
402801,400331,12.5,0.079
402801,400237,5.1,0.194
402801,400849,6.3,0.157
402801,400850,12.0,0.082
402801,401349,17.0,0.059
402801,401206,2.0,0.479
402801,401207,4.5,0.218
402801,401205,16.1,0.062
402801,401600,17.3,0.057
402801,401850,19.0,0.052
402801,402029,15.7,0.063
402801,402471,5.6,0.175
402801,402477,7.8,0.126
402801,400611,1.6,0.591
402801,400916,6.5,0.152
402801,404021,6.1,0.163
402801,401745,13.7,0.073
402801,403220,15.2,0.065
402801,404430,13.5,0.073
402801,402614,10.7,0.092
402801,403782,4.9,0.199
402801,403908,16.1,0.062
402801,404052,7.9,0.125
402801,404182,14.6,0.068
402801,403564,10.8,0.092
402802,402820,13.4,0.074
402802,403765,12.3,0.081
402802,401080,13.9,0.071
402802,400847,13.5,0.073
402802,400237,12.4,0.08
402802,400849,18.6,0.053
402802,400850,17.0,0.059
402802,401349,17.8,0.056
402802,401206,14.1,0.071
402802,401207,17.0,0.059
402802,401828,19.7,0.051
402802,402259,15.2,0.066
402802,402887,15.3,0.065
402802,402471,12.7,0.078
402802,402477,19.2,0.052
402802,400611,12.6,0.079
402802,400916,15.8,0.063
402802,404021,15.6,0.064
402802,401745,1.8,0.514
402802,404430,16.5,0.06
402802,403782,11.9,0.083
402802,404052,6.8,0.145
402802,404182,9.1,0.108
402802,404189,19.0,0.052
402814,402816,17.1,0.058
402814,403066,17.6,0.057
402814,403150,19.2,0.052
402814,401964,12.0,0.082
402814,402886,18.8,0.053
402814,400687,17.1,0.058
402814,400827,6.8,0.144
402814,400852,7.0,0.141
402814,401097,8.6,0.115
402814,401516,15.0,0.066
402814,401934,15.2,0.065
402814,402029,18.5,0.054
402814,402880,8.8,0.113
402814,404077,7.9,0.126
402814,404078,8.1,0.122
402814,404293,17.4,0.057
402814,402258,7.6,0.13
402814,404732,14.7,0.068
402814,404641,1.0,0.885
402816,403066,3.8,0.256
402816,403265,10.4,0.095
402816,400687,8.0,0.123
402816,400827,15.8,0.063
402816,400415,4.7,0.209
402816,400852,17.4,0.057
402816,401934,6.2,0.159
402816,400520,18.4,0.054
402816,401312,18.5,0.054
402816,402797,8.4,0.117
402816,403361,13.6,0.073
402816,403360,14.5,0.068
402816,404293,3.3,0.292
402816,404641,17.9,0.055
402820,402842,11.7,0.084
402820,403765,10.9,0.091
402820,401964,18.7,0.053
402820,401080,10.4,0.096
402820,400847,16.6,0.06
402820,400331,19.9,0.05
402820,400237,4.6,0.213
402820,400849,11.5,0.086
402820,401017,11.0,0.09
402820,401349,7.3,0.134
402820,401206,8.9,0.111
402820,401207,12.4,0.08
402820,401490,12.5,0.079
402820,401828,14.7,0.068
402820,401850,11.2,0.088
402820,402029,17.4,0.057
402820,402254,13.9,0.071
402820,402259,14.8,0.067
402820,402887,14.9,0.067
402820,402471,14.8,0.067
402820,402477,9.7,0.102
402820,400611,8.1,0.122
402820,400916,5.7,0.174
402820,404021,5.9,0.166
402820,401019,11.0,0.09
402820,401018,11.1,0.089
402820,401474,13.0,0.076
402820,401745,13.2,0.075
402820,402614,8.3,0.119
402820,403782,4.7,0.209
402820,404028,16.9,0.059
402820,404052,6.8,0.145
402820,404182,8.6,0.115
402820,404189,11.2,0.088
402820,404191,17.2,0.058
402820,403564,10.3,0.096
402842,403726,18.2,0.055
402842,403732,17.8,0.056
402842,403765,10.6,0.094
402842,401080,8.6,0.115
402842,400237,16.3,0.061
402842,401017,0.7,1.211
402842,401349,4.4,0.222
402842,401313,15.2,0.066
402842,401314,14.8,0.067
402842,401490,1.8,0.54
402842,401826,10.8,0.092
402842,400444,9.9,0.1
402842,401828,6.7,0.146
402842,401847,15.3,0.065
402842,401850,9.6,0.103
402842,402254,10.6,0.094
402842,402259,11.7,0.085
402842,402887,11.7,0.085
402842,402477,19.7,0.05
402842,400611,19.8,0.05
402842,400916,16.5,0.06
402842,404021,16.9,0.059
402842,401019,0.8,1.079
402842,401018,0.7,1.183
402842,401474,2.5,0.388
402842,401721,15.8,0.063
402842,402501,11.4,0.087
402842,402614,16.3,0.061
402842,403334,13.5,0.074
402842,403487,15.9,0.063
402842,403782,16.4,0.06
402842,404028,6.0,0.164
402842,404052,16.6,0.06
402842,404164,9.2,0.107
402842,404182,12.4,0.08
402842,404189,3.1,0.314
402842,404191,7.5,0.131
402842,403564,18.7,0.053
402883,400974,17.8,0.056
402883,400851,15.7,0.063
402883,400921,16.2,0.062
402883,401098,6.2,0.158
402883,400810,19.8,0.05
402883,400858,4.4,0.222
402883,401487,8.4,0.117
402883,400807,12.5,0.08
402883,401082,16.3,0.061
402883,401918,14.1,0.071
402883,402255,15.5,0.064
402883,402899,9.6,0.103
402883,401014,16.3,0.061
402883,401749,16.6,0.06
402883,402323,6.3,0.157
402883,403940,15.5,0.064
402883,403975,3.2,0.305
402883,404033,14.5,0.068
402883,403416,19.8,0.05
402883,403950,15.3,0.065
402883,404591,7.2,0.138
402885,403719,10.2,0.097
402885,403720,17.9,0.056
402885,403723,19.3,0.052
402885,403725,9.4,0.105
402885,403729,6.2,0.158
402885,403730,6.1,0.161
402885,403731,6.4,0.155
402885,403733,9.9,0.1
402885,402253,2.9,0.338
402885,400333,16.1,0.062
402885,401603,7.9,0.124
402885,400446,16.0,0.062
402885,401448,11.2,0.088
402885,401994,14.0,0.071
402885,401995,11.9,0.084
402885,402288,12.2,0.081
402885,400517,18.7,0.053
402885,400526,5.7,0.173
402885,402882,11.8,0.084
402885,404539,19.6,0.051
402885,402507,6.7,0.148
