case_id,multi_poly,eia_id,p_state,p_county,ylat,xlong,p_area,p_img_date,p_dig_conf,p_name,p_year,p_pwr_reg,p_tech_pri,p_tech_sec,p_axis,p_azimuth,p_tilt,p_battery,p_cap_ac,p_cap_dc,p_type,p_agrivolt,p_zscore
401476,multi,60058,AL,Lauderdale,34.833813,-87.838258,1735134,20210221,4,"River Bend Solar, LLC",2016,TVA,PV,c-si,single-axis,180,0,,75,100.2,greenfield,non-agrivoltaic,-0.255342
401865,multi,60679,AL,Dale,31.332202,-85.730144,187820,20211023,4,Fort Rucker Solar Array,2017,SOCO,PV,thin-film,single-axis,180,20,,10.6,12.7,greenfield,non-agrivoltaic,-0.04623
401866,multi,60680,AL,Calhoun,33.626383,-85.939984,39717,20210415,4,ANAD Solar Array,2017,SOCO,PV,thin-film,fixed-tilt,180,20,,7.4,9.7,greenfield,non-agrivoltaic,3.695493
402674,multi,61901,AL,Madison,34.611222,-86.624293,194595,20201209,4,Redstone Arsenal Hybrid,2017,TVA,PV,c-si,single-axis,180,0,batteries,10,12.5,superfund,non-agrivoltaic,-0.117882
401807,multi,60583,AL,Chambers,32.871904,-85.39706,1881927,20210307,4,Lafayette Solar Farm,2017,SOCO,PV,c-si,single-axis,180,0,,79.2,116.9,greenfield,non-agrivoltaic,-0.162774
402688,multi,61924,AL,Limestone,34.951948,-86.866187,390405,20210114,4,"Cumblerland Land Holdings, LLC",2018,TVA,PV,thin-film,single-axis,180,0,,15.9,20,greenfield,grazing,-0.393456
403007,multi,62462,AL,Colbert,34.766082,-87.9202,5766348,20220214,4,Muscle Shoals,2021,TVA,PV,thin-film,single-axis,180,,,227,294,greenfield,non-agrivoltaic,-0.398613
401345,multi,59862,AL,Russell,32.30477,-84.991003,472484,20220321,4,Fort Benning Solar Facility,2015,SOCO,PV,c-si,fixed-tilt,180,20,,30,41.5,greenfield,non-agrivoltaic,0.382069
404620,multi,63765,AL,Montgomery,32.202311,-86.325071,1445346,20230214,4,Black Bear Solar 1,2020,SOCO,PV,thin-film,single-axis,180,,,100,130,greenfield,non-agrivoltaic,0.38839
404683,multi,64469,AL,Covington,31.007337,-86.593864,2009738,20231002,4,OE_ALD,2020,SOCO,PV,,single-axis,180,,,80,80,greenfield,non-agrivoltaic,-0.635463
