case_id,multi_poly,eia_id,p_state,p_county,ylat,xlong,p_area,p_img_date,p_dig_conf,p_name,p_year,p_pwr_reg,p_tech_pri,p_tech_sec,p_axis,p_azimuth,p_tilt,p_battery,p_cap_ac,p_cap_dc,p_type,p_agrivolt,p_zscore,2022GDP,Total Energy of MA,Total Energy of Renewable
402005,multi,60866,MA,Essex,42.792026,-70.885639,29295,20210519,4,"Bashaw Solar (CSG) 1, LLC",2017,ISNE,PV,c-si,fixed-tilt,180,20,,2,2.4,greenfield,non-agrivoltaic,0.256891,47094918,1315.2,75.1
402102,single,61017,MA,Worcester,42.227856,-71.873242,41313,20220918,4,Stafford St 2 Community Solar,2018,ISNE,PV,c-si,fixed-tilt,180,25,,1.9,2.8,greenfield,non-agrivoltaic,-0.042897,46308136,1315.2,75.1
402103,single,61018,MA,Worcester,42.227163,-71.869517,9499,20220311,4,Stafford St Solar 3 (CSG),2017,ISNE,PV,c-si,fixed-tilt,180,25,,1,6.9,greenfield,non-agrivoltaic,13.910724,46308136,1315.2,75.1
401488,multi,60074,MA,Berkshire,42.669163,-73.092342,43540,20211217,4,North Adams Landfill,2015,ISNE,PV,c-si,fixed-tilt,180,20,,2.2,3.5,landfill,non-agrivoltaic,0.22428,6927750,1315.2,75.1
402126,multi,61069,MA,Worcester,42.087281,-71.517747,55579,20220402,4,"BWC Wading River One, Two, Three (CSG)",2017,ISNE,PV,c-si,fixed-tilt,180,20,,3,4.1,greenfield,non-agrivoltaic,0.084083,46308136,1315.2,75.1
402260,single,61308,MA,Worcester,42.136187,-72.02101,39799,20220311,4,Sampson Road Community Solar,2017,ISNE,PV,c-si,fixed-tilt,185,26,,2,2.6,greenfield,non-agrivoltaic,-0.094747,46308136,1315.2,75.1
402440,single,61555,MA,Plymouth,41.67106,-70.832153,62419,20220904,4,DG Crystal Spring (CSG),2017,ISNE,PV,c-si,fixed-tilt,180,20,,4.2,5.3,greenfield,non-agrivoltaic,0.320134,26619904,1315.2,75.1
402466,single,61590,MA,Norfolk,42.056811,-71.239044,31522,20220918,4,DG Foxborough Elm (CSG),2017,ISNE,PV,c-si,fixed-tilt,180,23,,2,2.6,greenfield,non-agrivoltaic,0.268666,57045702,1315.2,75.1
402800,multi,62066,MA,Hampshire,42.189515,-72.715212,23803,20210519,4,Southampton Solar PV,2019,ISNE,PV,c-si,fixed-tilt,180,10,,2,2.8,greenfield,non-agrivoltaic,1.013395,7702689,1315.2,75.1
402801,single,62072,MA,Hampden,42.132246,-72.5542,48966,20220901,4,Springfield Solar PV,2019,ISNE,PV,c-si,fixed-tilt,180,10,,4,5.6,greenfield,non-agrivoltaic,0.944165,23213480,1315.2,75.1
402802,multi,62073,MA,Hampden,42.044237,-72.458865,77583,20211215,4,Hampden Solar PV,2019,ISNE,PV,c-si,fixed-tilt,180,20,,3.5,4.8,greenfield,non-agrivoltaic,-0.168028,23213480,1315.2,75.1
402814,single,62090,MA,Franklin,42.42913,-72.539954,15018,20220901,4,Sunderland Solar PV,2018,ISNE,PV,c-si,fixed-tilt,180,20,,1.1,1.4,greenfield,non-agrivoltaic,0.496165,2835214,1315.2,75.1
402816,multi,62092,MA,Franklin,42.582156,-72.517395,60455,20220703,4,Montague Site 36-Grosolar,2018,ISNE,PV,c-si,fixed-tilt,225,35,,4.1,5,greenfield,non-agrivoltaic,0.273421,2835214,1315.2,75.1
402820,single,62097,MA,Hampden,42.164509,-72.446239,23823,20220901,4,Ludlow Site 72-Conti,2018,ISNE,PV,c-si,fixed-tilt,180,20,,1.9,2.1,greenfield,non-agrivoltaic,0.388766,23213480,1315.2,75.1
402842,single,62135,MA,Hampden,42.202317,-72.313415,54426,20220131,4,Palmer,2019,ISNE,PV,c-si,fixed-tilt,180,25,,3.5,4.9,greenfield,non-agrivoltaic,0.428602,23213480,1315.2,75.1
402883,multi,62199,MA,Worcester,42.631275,-71.797967,29547,20210629,4,"Ashby Solar, LLC (CSG)",2018,ISNE,PV,c-si,fixed-tilt,186,25,,1.8,2.3,greenfield,non-agrivoltaic,0.170372,46308136,1315.2,75.1
402885,multi,62201,MA,Worcester,42.057622,-71.925681,25322,20210727,4,Dudley Solar (CSG),2017,ISNE,PV,c-si,fixed-tilt,182,20,,1.9,2.4,greenfield,non-agrivoltaic,0.529237,46308136,1315.2,75.1
402917,single,62264,MA,Berkshire,42.489848,-73.218204,13805,20201105,4,Pittsfield 44-M&W PV,2018,ISNE,PV,c-si,fixed-tilt,180,20,,1.2,1.4,greenfield,non-agrivoltaic,0.669742,6927750,1315.2,75.1
403034,multi,62503,MA,Worcester,42.689896,-72.085621,33032,20210815,4,Winchendon Landfill Solar,2018,ISNE,PV,c-si,fixed-tilt,180,25,,2,2.7,landfill-named,non-agrivoltaic,0.252922,46308136,1315.2,75.1
